CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
Democratic Republic of Congo,COD,,,NAT_TOTAL,20211201,0.00,,1.00,1,1.00,1,3.00,1,0.00,,2.00,0,2.00,0,1.00,1.00,1,2.00,,,1.00,1,1.00,0.00,,0.00,3.00,1,1.00,1,0.00,,,1,1,,,0,0,2,1,5,,58306,1107,39.81,39.81,41.19,41.19,39.79,39.79,34.76,34.76,75.00,75.00
Democratic Republic of Congo,COD,,,NAT_TOTAL,20211202,0.00,,1.00,1,1.00,1,3.00,1,0.00,,2.00,0,2.00,0,1.00,1.00,1,2.00,,,1.00,1,1.00,0.00,,0.00,3.00,1,1.00,1,0.00,,,1,1,,,0,0,2,1,5,,58319,1107,39.81,39.81,41.19,41.19,39.79,39.79,34.76,34.76,75.00,75.00
Democratic Republic of Congo,COD,,,NAT_TOTAL,20211203,0.00,,1.00,1,1.00,1,3.00,1,0.00,,2.00,0,2.00,0,1.00,1.00,1,2.00,,,1.00,1,1.00,0.00,,0.00,3.00,1,1.00,1,0.00,,,1,1,,,0,0,2,1,5,,58319,1107,39.81,39.81,41.19,41.19,39.79,39.79,34.76,34.76,75.00,75.00
Democratic Republic of Congo,COD,,,NAT_TOTAL,20211204,0.00,,1.00,1,1.00,1,3.00,1,0.00,,2.00,0,2.00,0,1.00,1.00,1,2.00,,,1.00,1,1.00,0.00,,0.00,3.00,1,1.00,1,0.00,,,1,1,,,0,0,2,1,5,,58319,1107,39.81,39.81,41.19,41.19,39.79,39.79,34.76,34.76,75.00,75.00
Democratic Republic of Congo,COD,,,NAT_TOTAL,20211205,0.00,,1.00,1,1.00,1,3.00,1,0.00,,2.00,0,2.00,0,1.00,1.00,1,2.00,,,1.00,1,1.00,0.00,,0.00,3.00,1,1.00,1,0.00,,,1,1,,,0,0,2,1,5,,58319,1107,39.81,39.81,41.19,41.19,39.79,39.79,34.76,34.76,75.00,75.00
Democratic Republic of Congo,COD,,,NAT_TOTAL,20211206,0.00,,1.00,1,1.00,1,3.00,1,0.00,,2.00,0,2.00,0,1.00,1.00,1,2.00,,,1.00,1,1.00,0.00,,0.00,3.00,1,1.00,1,0.00,,,1,1,,,0,0,2,1,5,,58858,1113,39.81,39.81,41.19,41.19,39.79,39.79,34.76,34.76,75.00,75.00
Democratic Republic of Congo,COD,,,NAT_TOTAL,20211207,0.00,,1.00,1,1.00,1,3.00,1,0.00,,2.00,0,2.00,0,1.00,1.00,1,2.00,,,1.00,1,1.00,0.00,,0.00,3.00,1,1.00,1,0.00,,,1,1,,,0,0,2,1,5,,59175,1113,39.81,39.81,41.19,41.19,39.79,39.79,34.76,34.76,75.00,75.00
Democratic Republic of Congo,COD,,,NAT_TOTAL,20211208,0.00,,1.00,1,1.00,1,3.00,1,0.00,,2.00,0,2.00,0,1.00,1.00,1,2.00,,,1.00,1,1.00,0.00,,0.00,3.00,1,1.00,1,0.00,,,1,1,,,0,0,2,1,5,,59175,1113,39.81,39.81,41.19,41.19,39.79,39.79,34.76,34.76,75.00,75.00
Democratic Republic of Congo,COD,,,NAT_TOTAL,20211209,0.00,,1.00,1,1.00,1,3.00,1,0.00,,2.00,0,2.00,0,1.00,1.00,1,2.00,,,1.00,1,1.00,0.00,,0.00,3.00,1,1.00,1,0.00,,,1,1,,,0,0,2,1,5,,59208,1115,39.81,39.81,41.19,41.19,39.79,39.79,34.76,34.76,75.00,75.00
Democratic Republic of Congo,COD,,,NAT_TOTAL,20211210,0.00,,1.00,1,1.00,1,3.00,1,0.00,,2.00,0,2.00,0,1.00,1.00,1,2.00,,,1.00,1,1.00,0.00,,0.00,3.00,1,1.00,1,0.00,,,1,1,,,0,0,2,1,5,,59851,1118,39.81,39.81,41.19,41.19,39.79,39.79,34.76,34.76,75.00,75.00
